section	offset	size	unit	scope	name	demangled
.bss	0x0014DB14	0x50	t_id/t_id.cpp	local	idPath	idPath
.bss	0x0014DB64	0xAC	t_id/t_id.cpp	local	idSctrl0	idSctrl0
.bss	0x0014DC10	0xAC	t_id/t_id.cpp	local	idSctrl1	idSctrl1
.bss	0x0014DCBC	0xAC	t_id/t_id.cpp	local	idSctrl2	idSctrl2
.bss	0x0014DD68	0xAC	t_id/t_id.cpp	local	idSctrl3	idSctrl3
.bss	0x0014DE14	0x10	t_id/t_id.cpp	local	idRandom	idRandom
.bss	0x0014DE24	0x4	t_id/t_id.cpp	global	pIdBuf0	pIdBuf0
.bss	0x0014DE28	0x4	t_id/t_id.cpp	global	pIdBuf1	pIdBuf1
.bss	0x0014DE2C	0x4	t_id/t_id.cpp	global	pIdBuf2	pIdBuf2
.bss	0x0014DE30	0x4	t_id/t_id.cpp	global	pIdBuf3	pIdBuf3
.bss	0x0014DE34	0xF8	t_id/t_util.cpp	local	globalCamera	globalCamera
.bss	0x0014DF2C	0x10	t_id/t_util.cpp	global	debug_flg_bak	debug_flg_bak
.bss	0x0014DF3C	0x4	t_id/t_util.cpp	global	stop_flg_bak	stop_flg_bak
.bss	0x0014DF40	0x4	t_id/t_util.cpp	global	disp_flg_bak	disp_flg_bak
.bss	0x0014DF44	0x4	t_id/t_util.cpp	global	system_flg_bak	system_flg_bak
.bss	0x0014DF48	0x10	t_id/t_util.cpp	global	status_flg_bak	status_flg_bak
.bss	0x0014DF58	0x34	t_id/t_id.cpp	global	common_t_id	common_t_id
